country_iso3	country_name	year	reported_cases	case_data_available	time_resolution	surveillance_scope	comparability_note	indicator_code	source	source_url	source_api_url	api_last_updated	data_freeze_date
BEL	Belgium	2015	1203	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2016	2105	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2017	1535	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2018	1354	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2019	1098	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2020	124	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2021	16	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2022	80	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2023	1046	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
BEL	Belgium	2024	3078	True	annual	Country-reported annual count; Belgium uses voluntary sentinel-laboratory surveillance	Descriptive surveillance series only; not an independent national case-model replication and not directly comparable as population-wide incidence. Annual totals must not be disaggregated into monthly counts.	WHS3_43	WHO/UNICEF Joint Reporting Form via WHO Global Health Observatory	https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pertussis-number-of-reported-cases	https://ghoapi.azureedge.net/api/WHS3_43?%24filter=%28SpatialDim+eq+%27BEL%27+or+SpatialDim+eq+%27FRA%27%29+and+TimeDim+ge+2015+and+TimeDim+le+2025&%24select=SpatialDim%2CTimeDim%2CNumericValue%2CValue%2CDate&%24orderby=SpatialDim%2CTimeDim&%24format=json	2025-07-14T16:36:19.017+02:00	2026-07-27
