country_iso3	model_month	project_id	preliminary_lineage_id	n_genome_candidates	n_genome_observation_eligible	n_sampling_process_observed	lineage_definition_status	data_freeze_date
AUS	2024-05-01	PRJNA1199062	ptxP17/fim3-26	1	0	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-05-01	PRJNA1199062	ptxP3/fim3-1	3	3	3	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-06-01	PRJNA1199062	ptxP1/fim3-26	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-06-01	PRJNA1199062	ptxP3/fim3-1	3	2	3	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-06-01	PRJNA1199062	ptxP3/fim3-2	4	3	4	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-06-01	PRJNA1199062	ptxP3/fim3-45	1	0	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-07-01	PRJNA1199062	ptxP(~1)/fim3-4	1	0	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-07-01	PRJNA1199062	ptxP1/fim3-26	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-07-01	PRJNA1199062	ptxP3/fim3-1	4	3	4	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-07-01	PRJNA1199062	ptxP3/fim3-2	12	11	12	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-08-01	PRJNA1178746	ptxP3/fim3-1	2	2	0	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-08-01	PRJNA1199062	ptxP1/fim3-26	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-08-01	PRJNA1199062	ptxP3/fim3-1	7	7	7	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-08-01	PRJNA1199062	ptxP3/fim3-2	6	6	6	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-09-01	PRJNA1199062	ptxP1/fim3-26	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-09-01	PRJNA1199062	ptxP3/fim3-1	7	7	7	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-09-01	PRJNA1199062	ptxP3/fim3-2	11	11	11	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-09-01	PRJNA1199062	ptxP3/fim3-45	1	0	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-10-01	PRJNA1199062	ptxP1/fim3-4	1	0	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-10-01	PRJNA1199062	ptxP3/fim3(~2)	1	0	1	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-10-01	PRJNA1199062	ptxP3/fim3-1	4	4	4	preliminary_only_pending_new_phylogeny	2026-07-24
AUS	2024-10-01	PRJNA1199062	ptxP3/fim3-2	25	24	25	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-01-01	PRJEB88325	MS-MT28	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-01-01	PRJEB88325	ptxP3/fim3-1	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-01-01	PRJEB88325	ptxP3/fim3-2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-02-01	PRJEB88325	ptxP3/fim3-2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-03-01	PRJEB88325	ptxP3/fim3-1	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-03-01	PRJEB88325	ptxP3/fim3-2	4	4	4	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-04-01	PRJEB88325	ptxP3/fim3-1	3	3	3	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2020-05-01	PRJEB88325	ptxP3/fim3-2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2022-08-01	PRJEB88325	Europe sublineage 2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2022-11-01	PRJEB88325	Europe sublineage 2	2	2	2	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-01-01	PRJEB88325	Europe sublineage 2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-03-01	PRJEB88325	Europe sublineage 2	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-04-01	PRJEB88325	Europe sublineage 2	3	3	3	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-05-01	PRJEB88325	Europe sublineage 1	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-05-01	PRJEB88325	Europe sublineage 2	3	3	3	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-06-01	PRJEB88325	Europe sublineage 1	1	1	1	preliminary_only_pending_new_phylogeny	2026-07-24
BEL	2023-06-01	PRJEB88325	Europe sublineage 2	6	6	6	preliminary_only_pending_new_phylogeny	2026-07-24
