preliminary_lineage_id	n_genomes	n_countries	countries	n_periods	periods	screening_minimum_20_pass	cross_period_or_country_pass	formal_model_lineage_eligible	reason
ptxP3/fim3-1	501	5	AUS;BEL;CHN;FRA;JPN	3	pandemic_interruption;post_pandemic_resurgence;pre_pandemic	True	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP1/fim3-1	267	4	AUS;CHN;FRA;JPN	3	pandemic_interruption;post_pandemic_resurgence;pre_pandemic	True	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP3/fim3-2	185	5	AUS;BEL;CHN;FRA;JPN	3	pandemic_interruption;post_pandemic_resurgence;pre_pandemic	True	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
Europe sublineage 2	75	2	BEL;FRA	2	pandemic_interruption;post_pandemic_resurgence	True	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
Europe sublineage 1	31	2	BEL;FRA	1	post_pandemic_resurgence	True	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
MS-MT28	19	2	BEL;FRA	3	pandemic_interruption;post_pandemic_resurgence;pre_pandemic	False	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP3	15	3	CHN;FRA;JPN	3	pandemic_interruption;post_pandemic_resurgence;pre_pandemic	False	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
others	14	3	BEL;FRA;JPN	2	post_pandemic_resurgence;pre_pandemic	False	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP1/fim3-26	7	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP1/fim3-4	5	3	AUS;CHN;FRA	2	post_pandemic_resurgence;pre_pandemic	False	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP1	4	2	FRA;JPN	2	post_pandemic_resurgence;pre_pandemic	False	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP(~5)/fim3-26	3	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP3/fim3-27	3	1	AUS	2	post_pandemic_resurgence;pre_pandemic	False	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP3/fim3-45	3	1	AUS	2	post_pandemic_resurgence;pre_pandemic	False	True	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
United States Sublineage 1	2	1	BEL	1	pre_pandemic	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
MR-MT28-PG1	1	1	FRA	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
fim3-2	1	1	FRA	1	pre_pandemic	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP(~1)/fim3-4	1	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP(~5)/fim3-45	1	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP17/fim3-26	1	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP3/fim3(~2)	1	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP3/fim3-7	1	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
ptxP34/fim3-27	1	1	AUS	1	post_pandemic_resurgence	False	False	False	Preliminary published/marker label only; model lineage remains locked until the new phylogeny is defined without outcome peeking.
