genome_record_id	sample_id	biosample_accession	assembly_accession	run_accession	country_iso3	country_name	collection_date_raw	date_lower	date_upper	year	month	quarter	date_resolution	date_month_or_quarter	project_id	project_id_source	source_dataset	source_role	model_denominator_role	genome_candidate	genome_qc_status	genome_observation_eligible	sampling_process_observed	sequencing_success	ct_value	specimen_type	preliminary_lineage_id	lineage_definition_status	published_branch	published_lineage	published_sublineage	ptxP_label	fim3_label	marker_23s_status	duplicate_of_focal	duplicate_group_size	data_freeze_date	provenance_note
JPN::SAMD00328188	DRS190007	SAMD00328188	RRASM_DRR300240		JPN	Japan		2010-01-01	2010-12-31	2010			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00328195	DRS190014	SAMD00328195	RRASM_DRR300247		JPN	Japan		2011-01-01	2011-12-31	2011			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00328201	DRS190020	SAMD00328201	RRASM_DRR300253		JPN	Japan		2012-01-01	2012-12-31	2012			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00549621	DRS259958	SAMD00549621	RRASM_DRR413409		JPN	Japan		2015-01-01	2015-12-31	2015			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00549631	DRS259968	SAMD00549631	RRASM_DRR413419		JPN	Japan		2016-01-01	2016-12-31	2016			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP1/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP1/fim3-1		ptxP1	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00549636	DRS259973	SAMD00549636	RRASM_DRR413424		JPN	Japan		2018-01-01	2018-12-31	2018			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00570793	DRS273939	SAMD00570793	RRASM_DRR428469		JPN	Japan		2004-01-01	2004-12-31	2004			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True			ptxP3/fim3-1	provisional_marker_or_published_annotation	Branch_IIb	ptxP3/fim3-1		ptxP3	fim3-1	MS	False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00872997	DRS442920	SAMD00872997	RRASM_DRR631450		JPN	Japan		2019-01-01	2019-12-31	2019			year	False	PRJDB7578	study_accession	current_2406_archive	historical_tree_anchor	focal_genome_observation	True	archive_analysis_genome	True	False	True				provisional_marker_or_published_annotation							False	1	2026-07-24	Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00920277	SAMD00920277	SAMD00920277	RRASM_DRR900583	DRR900583	JPN	Japan	2024	2024-01-01	2024-12-31	2024			year	False	PRJDB34249	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD00920279	SAMD00920279	SAMD00920279	RRASM_DRR900585	DRR900585	JPN	Japan	2024	2024-01-01	2024-12-31	2024			year	False	PRJDB34249	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697899	SAMD01697899	SAMD01697899	RRASM_DRR902039	DRR902039	JPN	Japan	2025-05-01	2025-05-01	2025-05-01	2025	5	2	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697904	SAMD01697904	SAMD01697904	RRASM_DRR902044	DRR902044	JPN	Japan	2025-05-26	2025-05-26	2025-05-26	2025	5	2	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
JPN::SAMD01697907	SAMD01697907	SAMD01697907	RRASM_DRR902047	DRR902047	JPN	Japan	2025-05-26	2025-05-26	2025-05-26	2025	5	2	day	True	PRJDB37898	ena_study_accession	japan_targeted_ena_projects;current_2406_archive	focal_model_observation	focal_genome_observation	True	public_raw_reads_pending_uniform_qc	True	False	True				pending_new_phylogeny							False	2	2026-07-24	Targeted Japanese historical or recent public project. | Legacy PRN endpoints ignored; record retained only for genome/date/project/marker metadata.
