tree_sample_id	genome_record_id	country_iso3	country_name	collection_lower	collection_upper	collection_upper_effective	temporal_consistency_status	date_resolution	year	month	project_id	run_accession	biosample_accession	assembly_accession	sequence_acquisition	primary_model_lineage_id	display_lineage	epidemic_period	public_date	public_date_source	ena_first_public_date	assembly_release_date	public_route	subnational_location	location_source	location_resolution	nas_snapshot_record_id	lag_from_collection_lower_days	lag_from_collection_upper_days	lag_min_days	lag_max_days	first_post2022_month_above_2019_max	post2022_peak_month	public_lead_to_2019max_threshold_days	public_lead_to_post2022_peak_days	collection_lead_to_2019max_threshold_days	collection_lead_to_post2022_peak_days
AUS__SAMN22858166	AUS::SAMN22858166	AUS	Australia	2011-01-01	2011-12-31	2011-12-31	ok	year	2011		PRJNA562796	SRR16760264	SAMN22858166	RRASM_SRR16760264	local_fasta	L1_02.05	Comparator genomic lineage B	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858166	4241	3877	3877	4241	2024-03-01	2024-11-01	567	812	4808	5053
AUS__SAMN22858150	AUS::SAMN22858150	AUS	Australia	2012-01-01	2012-12-31	2012-12-31	ok	year	2012		PRJNA562796	SRR16760281	SAMN22858150	RRASM_SRR16760281	local_fasta	L1_02.05	Comparator genomic lineage B	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858150	3876	3511	3511	3876	2024-03-01	2024-11-01	567	812	4443	4688
AUS__SAMN22858181	AUS::SAMN22858181	AUS	Australia	2012-01-01	2012-12-31	2012-12-31	ok	year	2012		PRJNA562796	SRR16760247	SAMN22858181	RRASM_SRR16760247	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858181	3876	3511	3511	3876	2024-03-01	2024-11-01	567	812	4443	4688
AUS__SAMN45810521	AUS::SAMN45810521	AUS	Australia	2012-01-01	2012-01-31	2012-01-31	ok	month	2012	1	PRJNA1199062	SRR31743935	SAMN45810521		ena_fastq_download	L1_02.05	Comparator genomic lineage B	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810521	4764	4734	4734	4764	2024-03-01	2024-11-01	-321	-76	4443	4688
AUS__SAMN08443709	AUS::SAMN08443709	AUS	Australia	2013-01-01	2013-12-31	2013-12-31	ok	year	2013		PRJNA432286	SRR8652760	SAMN08443709	RRASM_SRR8652760	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443709	2252	1888	1888	2252	2024-03-01	2024-11-01	1825	2070	4077	4322
AUS__SAMN08443715	AUS::SAMN08443715	AUS	Australia	2013-01-01	2013-12-31	2013-12-31	ok	year	2013		PRJNA432286	SRR8652749	SAMN08443715	RRASM_SRR8652749	local_fasta	L1_01.02	Comparator genomic lineage A	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443715	2252	1888	1888	2252	2024-03-01	2024-11-01	1825	2070	4077	4322
AUS__SAMN07235949	AUS::SAMN07235949	AUS	Australia	2014-03-07	2014-03-07	2014-03-07	ok	day	2014	3	PRJNA390469		SAMN07235949	GCA_002270325	ncbi_assembly_download	L1_02.06	Comparator genomic lineage C	prepandemic	2017-08-25	ncbi_assembly_release;ncbi_assembly_release		2017-08-25	ncbi_assembly_only	Perth	nas_focal_snapshot	subnational	AUS__SAMN07235949	1267	1267	1267	1267	2024-03-01	2024-11-01	2380	2625	3647	3892
AUS__SAMN08443734	AUS::SAMN08443734	AUS	Australia	2014-01-01	2014-12-31	2014-12-31	ok	year	2014		PRJNA432286	SRR8652777	SAMN08443734	RRASM_SRR8652777	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443734	1887	1523	1523	1887	2024-03-01	2024-11-01	1825	2070	3712	3957
AUS__SAMN08443746	AUS::SAMN08443746	AUS	Australia	2014-01-01	2014-12-31	2014-12-31	ok	year	2014		PRJNA432286	SRR8652718	SAMN08443746	RRASM_SRR8652718	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443746	1887	1523	1523	1887	2024-03-01	2024-11-01	1825	2070	3712	3957
AUS__SAMN08443742	AUS::SAMN08443742	AUS	Australia	2015-01-01	2015-12-31	2015-12-31	ok	year	2015		PRJNA432286	SRR8652742	SAMN08443742	RRASM_SRR8652742	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443742	1522	1158	1158	1522	2024-03-01	2024-11-01	1825	2070	3347	3592
AUS__SAMN08443767	AUS::SAMN08443767	AUS	Australia	2015-01-01	2015-12-31	2015-12-31	ok	year	2015		PRJNA432286	SRR8652729	SAMN08443767	RRASM_SRR8652729	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443767	1522	1158	1158	1522	2024-03-01	2024-11-01	1825	2070	3347	3592
AUS__SAMN18200431	AUS::SAMN18200431	AUS	Australia	2015-01-01	2015-12-31	2015-12-31	ok	year	2015		PRJNA695314		SAMN18200431	GCA_017357125	ncbi_assembly_download	L1_01.02	Comparator genomic lineage A	prepandemic	2021-03-16	ncbi_assembly_release;ncbi_assembly_release		2021-03-16	ncbi_assembly_only		nas_focal_snapshot	country	AUS__SAMN18200431	2266	1902	1902	2266	2024-03-01	2024-11-01	1081	1326	3347	3592
AUS__SAMN45810550	AUS::SAMN45810550	AUS	Australia	2015-12-01	2015-12-31	2015-12-31	ok	month	2015	12	PRJNA1199062	SRR31743838	SAMN45810550		ena_fastq_download	L1_02.05	Comparator genomic lineage B	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810550	3334	3304	3304	3334	2024-03-01	2024-11-01	-321	-76	3013	3258
AUS__SAMN08443771	AUS::SAMN08443771	AUS	Australia	2016-01-01	2016-12-31	2016-12-31	ok	year	2016		PRJNA432286	SRR8652780	SAMN08443771	RRASM_SRR8652780	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443771	1157	792	792	1157	2024-03-01	2024-11-01	1825	2070	2982	3227
AUS__SAMN08443772	AUS::SAMN08443772	AUS	Australia	2016-01-01	2016-12-31	2016-12-31	ok	year	2016		PRJNA432286	SRR8652779	SAMN08443772	RRASM_SRR8652779	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443772	1157	792	792	1157	2024-03-01	2024-11-01	1825	2070	2982	3227
AUS__SAMN45810522	AUS::SAMN45810522	AUS	Australia	2016-01-01	2016-01-31	2016-01-31	ok	month	2016	1	PRJNA1199062	SRR31743934	SAMN45810522		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810522	3303	3273	3273	3303	2024-03-01	2024-11-01	-321	-76	2982	3227
AUS__SAMN45810537	AUS::SAMN45810537	AUS	Australia	2016-04-01	2016-04-30	2016-04-30	ok	month	2016	4	PRJNA1199062	SRR31743918	SAMN45810537		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810537	3212	3183	3183	3212	2024-03-01	2024-11-01	-321	-76	2891	3136
AUS__SAMN45810538	AUS::SAMN45810538	AUS	Australia	2016-01-01	2016-01-31	2016-01-31	ok	month	2016	1	PRJNA1199062	SRR31743852	SAMN45810538		legacy_read_assembly	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810538	3303	3273	3273	3303	2024-03-01	2024-11-01	-321	-76	2982	3227
AUS__SAMN45810571	AUS::SAMN45810571	AUS	Australia	2016-01-01	2016-01-31	2016-01-31	ok	month	2016	1	PRJNA1199062	SRR31743912	SAMN45810571		legacy_read_assembly	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run	2025-01-16		ena_read_only	Victoria	ena_country	subnational	AUS__SAMN45810571	3303	3273	3273	3303	2024-03-01	2024-11-01	-321	-76	2982	3227
AUS__SAMN45810572	AUS::SAMN45810572	AUS	Australia	2016-02-01	2016-02-29	2016-02-29	ok	month	2016	2	PRJNA1199062	SRR31743911	SAMN45810572		legacy_read_assembly	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run	2025-01-16		ena_read_only	Western Australia	ena_country	subnational	AUS__SAMN45810572	3272	3244	3244	3272	2024-03-01	2024-11-01	-321	-76	2951	3196
AUS__SAMN45810573	AUS::SAMN45810573	AUS	Australia	2016-02-01	2016-02-29	2016-02-29	ok	month	2016	2	PRJNA1199062	SRR31743910	SAMN45810573		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	Western Australia	ena_country	subnational	AUS__SAMN45810573	3272	3244	3244	3272	2024-03-01	2024-11-01	-321	-76	2951	3196
AUS__SAMN45810574	AUS::SAMN45810574	AUS	Australia	2016-04-01	2016-04-30	2016-04-30	ok	month	2016	4	PRJNA1199062	SRR31743909	SAMN45810574		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	Western Australia	ena_country	subnational	AUS__SAMN45810574	3212	3183	3183	3212	2024-03-01	2024-11-01	-321	-76	2891	3136
AUS__SAMN08443778	AUS::SAMN08443778	AUS	Australia	2017-01-01	2017-12-31	2017-12-31	ok	year	2017		PRJNA432286	SRR8652725	SAMN08443778	RRASM_SRR8652725	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443778	791	427	427	791	2024-03-01	2024-11-01	1825	2070	2616	2861
AUS__SAMN08443780	AUS::SAMN08443780	AUS	Australia	2017-01-01	2017-12-31	2017-12-31	ok	year	2017		PRJNA432286	SRR8652770	SAMN08443780	RRASM_SRR8652770	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2019-03-03	ena_first_public_biosample_accession;ena_first_public_run	2019-03-03		ena_read_only		ena_country	country	AUS__SAMN08443780	791	427	427	791	2024-03-01	2024-11-01	1825	2070	2616	2861
AUS__SAMN45810524	AUS::SAMN45810524	AUS	Australia	2018-01-01	2018-01-31	2018-01-31	ok	month	2018	1	PRJNA1199062	SRR31743932	SAMN45810524		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810524	2572	2542	2542	2572	2024-03-01	2024-11-01	-321	-76	2251	2496
AUS__SAMN45810525	AUS::SAMN45810525	AUS	Australia	2018-06-01	2018-06-30	2018-06-30	ok	month	2018	6	PRJNA1199062	SRR31743931	SAMN45810525		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810525	2421	2392	2392	2421	2024-03-01	2024-11-01	-321	-76	2100	2345
AUS__SAMN45810526	AUS::SAMN45810526	AUS	Australia	2018-12-01	2018-12-31	2018-12-31	ok	month	2018	12	PRJNA1199062	SRR31743930	SAMN45810526		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810526	2238	2208	2208	2238	2024-03-01	2024-11-01	-321	-76	1917	2162
AUS__SAMN45810527	AUS::SAMN45810527	AUS	Australia	2018-07-01	2018-07-31	2018-07-31	ok	month	2018	7	PRJNA1199062	SRR31743929	SAMN45810527		legacy_read_assembly	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810527	2391	2361	2361	2391	2024-03-01	2024-11-01	-321	-76	2070	2315
AUS__SAMN45810528	AUS::SAMN45810528	AUS	Australia	2018-08-01	2018-08-31	2018-08-31	ok	month	2018	8	PRJNA1199062	SRR31743928	SAMN45810528		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810528	2360	2330	2330	2360	2024-03-01	2024-11-01	-321	-76	2039	2284
AUS__SAMN45810529	AUS::SAMN45810529	AUS	Australia	2018-03-01	2018-03-31	2018-03-31	ok	month	2018	3	PRJNA1199062	SRR31743927	SAMN45810529		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810529	2513	2483	2483	2513	2024-03-01	2024-11-01	-321	-76	2192	2437
AUS__SAMN45810539	AUS::SAMN45810539	AUS	Australia	2018-10-01	2018-10-31	2018-10-31	ok	month	2018	10	PRJNA1199062	SRR31743851	SAMN45810539		legacy_read_assembly	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810539	2299	2269	2269	2299	2024-03-01	2024-11-01	-321	-76	1978	2223
AUS__SAMN45810546	AUS::SAMN45810546	AUS	Australia	2018-11-01	2018-11-30	2018-11-30	ok	month	2018	11	PRJNA1199062	SRR31743843	SAMN45810546		ena_fastq_download	L1_02.05	Comparator genomic lineage B	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810546	2268	2239	2239	2268	2024-03-01	2024-11-01	-321	-76	1947	2192
AUS__SAMN45810501	AUS::SAMN45810501	AUS	Australia	2019-10-01	2019-10-31	2019-10-31	ok	month	2019	10	PRJNA1199062	SRR31744007	SAMN45810501		ena_fastq_download	L1_02.05	Comparator genomic lineage B	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810501	1934	1904	1904	1934	2024-03-01	2024-11-01	-321	-76	1613	1858
AUS__SAMN45810505	AUS::SAMN45810505	AUS	Australia	2019-08-01	2019-08-31	2019-08-31	ok	month	2019	8	PRJNA1199062	SRR31743839	SAMN45810505		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810505	1995	1965	1965	1995	2024-03-01	2024-11-01	-321	-76	1674	1919
AUS__SAMN45810506	AUS::SAMN45810506	AUS	Australia	2019-09-01	2019-09-30	2019-09-30	ok	month	2019	9	PRJNA1199062	SRR31743828	SAMN45810506		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810506	1964	1935	1935	1964	2024-03-01	2024-11-01	-321	-76	1643	1888
AUS__SAMN45810507	AUS::SAMN45810507	AUS	Australia	2019-10-01	2019-10-31	2019-10-31	ok	month	2019	10	PRJNA1199062	SRR31743914	SAMN45810507		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810507	1934	1904	1904	1934	2024-03-01	2024-11-01	-321	-76	1613	1858
AUS__SAMN45810523	AUS::SAMN45810523	AUS	Australia	2019-12-01	2019-12-31	2019-12-31	ok	month	2019	12	PRJNA1199062	SRR31743933	SAMN45810523		ena_fastq_download	L1_02.06	Comparator genomic lineage C	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810523	1873	1843	1843	1873	2024-03-01	2024-11-01	-321	-76	1552	1797
AUS__SAMN45810532	AUS::SAMN45810532	AUS	Australia	2019-10-01	2019-10-31	2019-10-31	ok	month	2019	10	PRJNA1199062	SRR31743923	SAMN45810532		ena_fastq_download	L1_02.05	Comparator genomic lineage B	prepandemic	2025-01-16	ena_first_public_biosample_accession;ena_first_public_run;ena_first_public_sample_accession	2025-01-16		ena_read_only	New South Wales	ena_country	subnational	AUS__SAMN45810532	1934	1904	1904	1934	2024-03-01	2024-11-01	-321	-76	1613	1858
