tree_sample_id	genome_record_id	country_iso3	country_name	collection_lower	collection_upper	collection_upper_effective	temporal_consistency_status	date_resolution	year	month	project_id	run_accession	biosample_accession	assembly_accession	sequence_acquisition	primary_model_lineage_id	display_lineage	epidemic_period	public_date	public_date_source	ena_first_public_date	assembly_release_date	public_route	subnational_location	location_source	location_resolution	nas_snapshot_record_id	lag_from_collection_lower_days	lag_from_collection_upper_days	lag_min_days	lag_max_days	first_post2022_month_above_2019_max	post2022_peak_month	public_lead_to_2019max_threshold_days	public_lead_to_post2022_peak_days	collection_lead_to_2019max_threshold_days	collection_lead_to_post2022_peak_days
AUS__SAMEA751508	AUS::SAMEA751508	AUS	Australia	1971-01-01	1971-12-31	1971-12-31	ok	year	1971		PRJEB2274	ERR028860	SAMEA751508	GCA_001210185	ncbi_assembly_download	Other	Other genomic lineages	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-20	ena_read_first		ena_country	country	AUS__SAMEA751508	14641	14277	14277	14641	2024-03-01	2024-11-01	4777	5022	19418	19663
AUS__SAMEA751513	AUS::SAMEA751513	AUS	Australia	1974-01-01	1974-12-31	1974-12-31	ok	year	1974		PRJEB2274	ERR028868	SAMEA751513	GCA_001333815	ncbi_assembly_download	Other	Other genomic lineages	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-27	ena_read_first		ena_country	country	AUS__SAMEA751513	13545	13181	13181	13545	2024-03-01	2024-11-01	4777	5022	18322	18567
AUS__SAMEA751511	AUS::SAMEA751511	AUS	Australia	1977-01-01	1977-12-31	1977-12-31	ok	year	1977		PRJEB2274	ERR028870	SAMEA751511	GCA_001203935	ncbi_assembly_download	Other	Other genomic lineages	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-20	ena_read_first		ena_country	country	AUS__SAMEA751511	12449	12085	12085	12449	2024-03-01	2024-11-01	4777	5022	17226	17471
AUS__SAMEA751512	AUS::SAMEA751512	AUS	Australia	1977-01-01	1977-12-31	1977-12-31	ok	year	1977		PRJEB2274	ERR028867	SAMEA751512	GCA_001333795	ncbi_assembly_download	Other	Other genomic lineages	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-04-22	ena_read_first		ena_country	country	AUS__SAMEA751512	12449	12085	12085	12449	2024-03-01	2024-11-01	4777	5022	17226	17471
AUS__SAMEA751183	AUS::SAMEA751183	AUS	Australia	1995-01-01	1995-12-31	1995-12-31	ok	year	1995		PRJEB2274	ERR028880	SAMEA751183	GCA_001206895	ncbi_assembly_download	Other	Other genomic lineages	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-20	ena_read_first		ena_country	country	AUS__SAMEA751183	5875	5511	5511	5875	2024-03-01	2024-11-01	4777	5022	10652	10897
AUS__SAMEA751337	AUS::SAMEA751337	AUS	Australia	1998-01-01	1998-12-31	1998-12-31	ok	year	1998		PRJEB2274	ERR028881	SAMEA751337	GCA_001198195	ncbi_assembly_download	L1_02.05	Comparator genomic lineage B	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-20	ena_read_first		ena_country	country	AUS__SAMEA751337	4779	4415	4415	4779	2024-03-01	2024-11-01	4777	5022	9556	9801
AUS__SAMEA751155	AUS::SAMEA751155	AUS	Australia	2000-01-01	2000-12-31	2000-12-31	ok	year	2000		PRJEB2274	ERR028882	SAMEA751155	GCA_001331635	ncbi_assembly_download	L1_02.05	Comparator genomic lineage B	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-24	ena_read_first		ena_country	country	AUS__SAMEA751155	4049	3684	3684	4049	2024-03-01	2024-11-01	4777	5022	8826	9071
AUS__SAMEA751475	AUS::SAMEA751475	AUS	Australia	2000-01-01	2000-12-31	2000-12-31	ok	year	2000		PRJEB2274	ERR028854	SAMEA751475	GCA_001198375	ncbi_assembly_download	Other	Other genomic lineages	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-20	ena_read_first		ena_country	country	AUS__SAMEA751475	4049	3684	3684	4049	2024-03-01	2024-11-01	4777	5022	8826	9071
AUS__SAMEA751476	AUS::SAMEA751476	AUS	Australia	2004-01-01	2004-12-31	2004-12-31	ok	year	2004		PRJEB2274	ERR028857	SAMEA751476	GCA_900067715	ncbi_assembly_download	L1_02.05	Comparator genomic lineage B	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-04-03	ena_read_first		ena_country	country	AUS__SAMEA751476	2588	2223	2223	2588	2024-03-01	2024-11-01	4777	5022	7365	7610
AUS__SAMEA751477	AUS::SAMEA751477	AUS	Australia	2004-01-01	2004-12-31	2004-12-31	ok	year	2004		PRJEB2274	ERR028856	SAMEA751477	GCA_001196975	ncbi_assembly_download	L1_02.05	Comparator genomic lineage B	prepandemic	2011-02-01	ena_first_public_biosample_accession;ena_first_public_run	2011-02-01	2015-07-20	ena_read_first		ena_country	country	AUS__SAMEA751477	2588	2223	2223	2588	2024-03-01	2024-11-01	4777	5022	7365	7610
AUS__SAMN18200432	AUS::SAMN18200432	AUS	Australia	2008-01-01	2008-12-31	2008-12-31	ok	year	2008		PRJNA695314		SAMN18200432	GCA_017357165	ncbi_assembly_download	L1_02.05	Comparator genomic lineage B	prepandemic	2021-03-16	ncbi_assembly_release;ncbi_assembly_release		2021-03-16	ncbi_assembly_only		nas_focal_snapshot	country	AUS__SAMN18200432	4823	4458	4458	4823	2024-03-01	2024-11-01	1081	1326	5904	6149
AUS__SAMN22857989	AUS::SAMN22857989	AUS	Australia	2008-01-01	2008-12-31	2008-12-31	ok	year	2008		PRJNA562796	SRR16760177	SAMN22857989	RRASM_SRR16760177	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22857989	5337	4972	4972	5337	2024-03-01	2024-11-01	567	812	5904	6149
AUS__SAMN22858044	AUS::SAMN22858044	AUS	Australia	2008-01-01	2008-12-31	2008-12-31	ok	year	2008		PRJNA562796	SRR16760399	SAMN22858044	RRASM_SRR16760399	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858044	5337	4972	4972	5337	2024-03-01	2024-11-01	567	812	5904	6149
AUS__SAMN22857945	AUS::SAMN22857945	AUS	Australia	2009-01-01	2009-12-31	2009-12-31	ok	year	2009		PRJNA562796	SRR16760240	SAMN22857945	RRASM_SRR16760240	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22857945	4971	4607	4607	4971	2024-03-01	2024-11-01	567	812	5538	5783
AUS__SAMN22858020	AUS::SAMN22858020	AUS	Australia	2009-01-01	2009-12-31	2009-12-31	ok	year	2009		PRJNA562796	SRR16760425	SAMN22858020	RRASM_SRR16760425	local_fasta	L1_02.05	Comparator genomic lineage B	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858020	4971	4607	4607	4971	2024-03-01	2024-11-01	567	812	5538	5783
AUS__SAMN22858066	AUS::SAMN22858066	AUS	Australia	2010-01-01	2010-12-31	2010-12-31	ok	year	2010		PRJNA562796	SRR16760375	SAMN22858066	RRASM_SRR16760375	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858066	4606	4242	4242	4606	2024-03-01	2024-11-01	567	812	5173	5418
AUS__SAMN22858115	AUS::SAMN22858115	AUS	Australia	2010-01-01	2010-12-31	2010-12-31	ok	year	2010		PRJNA562796	SRR16760321	SAMN22858115	RRASM_SRR16760321	local_fasta	L1_02.06	Comparator genomic lineage C	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858115	4606	4242	4242	4606	2024-03-01	2024-11-01	567	812	5173	5418
AUS__SAMN18200430	AUS::SAMN18200430	AUS	Australia	2011-01-01	2011-12-31	2011-12-31	ok	year	2011		PRJNA695314		SAMN18200430	GCA_017357205	ncbi_assembly_download	L1_02.05	Comparator genomic lineage B	prepandemic	2021-03-16	ncbi_assembly_release;ncbi_assembly_release		2021-03-16	ncbi_assembly_only		nas_focal_snapshot	country	AUS__SAMN18200430	3727	3363	3363	3727	2024-03-01	2024-11-01	1081	1326	4808	5053
AUS__SAMN22858161	AUS::SAMN22858161	AUS	Australia	2011-01-01	2011-12-31	2011-12-31	ok	year	2011		PRJNA562796	SRR16760269	SAMN22858161	RRASM_SRR16760269	local_fasta	L1_02.05	Comparator genomic lineage B	prepandemic	2022-08-12	ena_first_public_biosample_accession;ena_first_public_run	2022-08-12		ena_read_only		ena_country	country	AUS__SAMN22858161	4241	3877	3877	4241	2024-03-01	2024-11-01	567	812	4808	5053
