query_project_id	run_accession	sample_accession	study_accession	collection_date	country	first_public
PRJDB20292	DRR900761	SAMD00885979	PRJDB20292	2024-12-09	Japan:Okinawa	2026-01-24
PRJDB20292	DRR900762	SAMD00885980	PRJDB20292	2024-12-09	Japan:Okinawa	2026-01-24
PRJDB20413	DRR902026	SAMD00892041	PRJDB20413	2025-01-21	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902021	SAMD00892036	PRJDB20413	2025-01-15	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902034	SAMD00892049	PRJDB20413	2025-02-06	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902036	SAMD00892051	PRJDB20413	2025-01-29	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902022	SAMD00892037	PRJDB20413	2025-01-14	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902024	SAMD00892039	PRJDB20413	2025-01-24	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902025	SAMD00892040	PRJDB20413	2025-01-22	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902027	SAMD00892042	PRJDB20413	2025-01-25	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902029	SAMD00892044	PRJDB20413	2025-01-28	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902030	SAMD00892045	PRJDB20413	2025-02-03	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902032	SAMD00892047	PRJDB20413	2025-02-07	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902033	SAMD00892048	PRJDB20413	2025-01-30	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902035	SAMD00892050	PRJDB20413	2025-01-28	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902038	SAMD00892053	PRJDB20413	2025-02-03	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902019	SAMD00892034	PRJDB20413	2024-12-14	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902020	SAMD00892035	PRJDB20413	2025-01-06	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902023	SAMD00892038	PRJDB20413	2025-01-21	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902028	SAMD00892043	PRJDB20413	2025-01-25	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902031	SAMD00892046	PRJDB20413	2025-02-03	Japan:Okinawa	2026-01-27
PRJDB20413	DRR902037	SAMD00892052	PRJDB20413	2025-02-03	Japan:Okinawa	2026-01-27
PRJDB34249	DRR900578	SAMD00920272	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900581	SAMD00920275	PRJDB34249	2024	Japan:Tottori	2026-01-25
PRJDB34249	DRR900585	SAMD00920279	PRJDB34249	2024	Japan:Tottori	2026-01-25
