country_iso3	model_month	project_id	primary_model_lineage_id	n_tree_genomes
AUS	2012-01-01	PRJNA1199062	L1_02.05	1
AUS	2014-03-01	PRJNA390469	L1_02.06	1
AUS	2015-12-01	PRJNA1199062	L1_02.05	1
AUS	2016-01-01	PRJNA1199062	L1_02.06	3
AUS	2016-02-01	PRJNA1199062	L1_02.06	2
AUS	2016-04-01	PRJNA1199062	L1_02.06	2
AUS	2018-01-01	PRJNA1199062	L1_02.06	1
AUS	2018-03-01	PRJNA1199062	L1_02.06	1
AUS	2018-06-01	PRJNA1199062	L1_02.06	1
AUS	2018-07-01	PRJNA1199062	L1_02.06	1
AUS	2018-08-01	PRJNA1199062	L1_02.06	1
AUS	2018-10-01	PRJNA1199062	L1_02.06	1
AUS	2018-11-01	PRJNA1199062	L1_02.05	1
AUS	2018-12-01	PRJNA1199062	L1_02.06	1
AUS	2019-01-01	PRJNA1199062	L1_02.06	1
AUS	2019-03-01	PRJNA1199062	L1_02.06	1
AUS	2019-05-01	PRJNA1199062	L1_02.05	1
AUS	2019-08-01	PRJNA1199062	L1_02.06	1
AUS	2019-09-01	PRJNA1199062	L1_02.06	1
AUS	2019-10-01	PRJNA1199062	L1_02.05	2
AUS	2019-10-01	PRJNA1199062	L1_02.06	1
AUS	2019-12-01	PRJNA1199062	L1_02.06	1
AUS	2023-09-01	PRJNA1199062	L1_02.06	1
AUS	2024-01-01	PRJNA1199062	L1_02.05	2
AUS	2024-01-01	PRJNA1199062	L1_02.06	1
AUS	2024-02-01	PRJNA1199062	L1_02.05	1
AUS	2024-05-01	PRJNA1199062	L1_01.02	1
AUS	2024-05-01	PRJNA1199062	L1_02.06	2
AUS	2024-06-01	PRJNA1199062	L1_01.02	1
AUS	2024-06-01	PRJNA1199062	L1_02.05	1
AUS	2024-06-01	PRJNA1199062	L1_02.06	2
AUS	2024-07-01	PRJNA1199062	L1_01.02	1
AUS	2024-07-01	PRJNA1199062	L1_02.05	3
AUS	2024-07-01	PRJNA1199062	L1_02.06	2
AUS	2024-08-01	PRJNA1178746	L1_02.07	2
AUS	2024-08-01	PRJNA1199062	L1_02.05	2
AUS	2024-08-01	PRJNA1199062	L1_02.07	1
AUS	2024-09-01	PRJNA1199062	L1_01.02	1
AUS	2024-09-01	PRJNA1199062	L1_02.05	4
AUS	2024-09-01	PRJNA1199062	L1_02.06	2
AUS	2024-10-01	PRJNA1199062	L1_02.05	4
AUS	2024-10-01	PRJNA1199062	L1_02.06	3
BEL	2014-01-01	PRJEB88325	L1_02.06	1
BEL	2014-06-01	PRJEB88325	L1_02.06	1
BEL	2014-07-01	PRJEB88325	L1_02.06	1
BEL	2014-08-01	PRJEB88325	L1_02.06	1
BEL	2014-09-01	PRJEB88325	L1_02.06	1
BEL	2014-12-01	PRJEB88325	L1_02.05	1
BEL	2015-05-01	PRJEB88325	L1_01.02	1
BEL	2015-12-01	PRJEB88325	L1_02.07	1
BEL	2017-04-01	PRJEB88325	L1_02.06	1
BEL	2017-05-01	PRJEB88325	L1_02.07	1
BEL	2017-06-01	PRJEB88325	L1_02.06	1
BEL	2017-07-01	PRJEB88325	L1_02.06	1
BEL	2017-09-01	PRJEB88325	L1_02.05	1
BEL	2017-09-01	PRJEB88325	L1_02.07	1
BEL	2018-03-01	PRJEB88325	L1_02.05	1
BEL	2018-10-01	PRJEB88325	L1_02.05	1
BEL	2018-12-01	PRJEB88325	L1_02.06	1
BEL	2019-01-01	PRJEB88325	L1_02.05	1
BEL	2019-04-01	PRJEB88325	L1_02.06	1
BEL	2019-07-01	PRJEB88325	L1_02.05	1
BEL	2020-01-01	PRJEB88325	L1_02.05	1
BEL	2020-01-01	PRJEB88325	L1_02.06	1
