project_id	run_accession	sample_accession	collection_date	country	first_public	comparison_status	gapfill_success_n	gapfill_success_runs	qc_decision	qc_reason	checkm_completeness	checkm_contamination	nas_match_status
PRJNA1071282	SRR27795995	SAMN39683213	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27795996	SAMN39682889	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27795996					paper_comparison
PRJNA1071282	SRR27795997	SAMN39683212	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27795997					paper_comparison
PRJNA1071282	SRR27795998	SAMN39683211	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27795998					paper_comparison
PRJNA1071282	SRR27795999	SAMN39683210	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796000	SAMN39683209	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796001	SAMN39683208	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796001					paper_comparison
PRJNA1071282	SRR27796002	SAMN39683207	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796002					paper_comparison
PRJNA1071282	SRR27796003	SAMN39683206	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796003					paper_comparison
PRJNA1071282	SRR27796004	SAMN39683205	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796004					paper_comparison
PRJNA1071282	SRR27796005	SAMN39683204	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796005					paper_comparison
PRJNA1071282	SRR27796006	SAMN39683203	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796007	SAMN39682888	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796008	SAMN39683202	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796009	SAMN39683201	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796010	SAMN39683200	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796011	SAMN39683199	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796012	SAMN39683198	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796012					paper_comparison
PRJNA1071282	SRR27796013	SAMN39683197	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796014	SAMN39683196	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796015	SAMN39683195	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796016	SAMN39683194	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796017	SAMN39683193	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796017					paper_comparison
PRJNA1071282	SRR27796018	SAMN39682887	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796018					paper_comparison
PRJNA1071282	SRR27796019	SAMN39683192	2017	China: Shanghai	2024-09-29	matched_external_gapfill_planned_only	0						paper_comparison
PRJNA1071282	SRR27796020	SAMN39683191	2017	China: Shanghai	2024-09-29	matched_external_gapfill_success	1	SRR27796020					paper_comparison
