nas_snapshot_record_id	tree_sample_id	country_iso3	project_id	run_accession	biosample_accession	assembly_accession	assembly_release_date	collection_date_raw	geo_raw	sequencing_tech	source_database	match_status
AUS__SAMEA751155	AUS__SAMEA751155	AUS	PRJEB2274	ERR028882	SAMEA751155	GCA_001331635	2015-07-24	2000	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751183	AUS__SAMEA751183	AUS	PRJEB2274	ERR028880	SAMEA751183	GCA_001206895	2015-07-20	1995	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751337	AUS__SAMEA751337	AUS	PRJEB2274	ERR028881	SAMEA751337	GCA_001198195	2015-07-20	1998	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751475	AUS__SAMEA751475	AUS	PRJEB2274	ERR028854	SAMEA751475	GCA_001198375	2015-07-20	2000	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751476	AUS__SAMEA751476	AUS	PRJEB2274	ERR028857	SAMEA751476	GCA_900067715	2015-04-03	2004	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751477	AUS__SAMEA751477	AUS	PRJEB2274	ERR028856	SAMEA751477	GCA_001196975	2015-07-20	2004	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751508	AUS__SAMEA751508	AUS	PRJEB2274	ERR028860	SAMEA751508	GCA_001210185	2015-07-20	1971	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751511	AUS__SAMEA751511	AUS	PRJEB2274	ERR028870	SAMEA751511	GCA_001203935	2015-07-20	1977	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751512	AUS__SAMEA751512	AUS	PRJEB2274	ERR028867	SAMEA751512	GCA_001333795	2015-04-22	1977	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMEA751513	AUS__SAMEA751513	AUS	PRJEB2274	ERR028868	SAMEA751513	GCA_001333815	2015-07-27	1974	Australia	SLX	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMN07235949	AUS__SAMN07235949	AUS	PRJNA390469		SAMN07235949	GCA_002270325	2017-08-25	2014-03-07	Australia: Perth	Illumina MiSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMN08443709	AUS__SAMN08443709	AUS	PRJNA432286	SRR8652760	SAMN08443709	RRASM_SRR8652760					local_fasta	unmatched_frozen_record
AUS__SAMN08443715	AUS__SAMN08443715	AUS	PRJNA432286	SRR8652749	SAMN08443715	RRASM_SRR8652749					local_fasta	unmatched_frozen_record
AUS__SAMN08443734	AUS__SAMN08443734	AUS	PRJNA432286	SRR8652777	SAMN08443734	RRASM_SRR8652777					local_fasta	unmatched_frozen_record
AUS__SAMN08443742	AUS__SAMN08443742	AUS	PRJNA432286	SRR8652742	SAMN08443742	RRASM_SRR8652742					local_fasta	unmatched_frozen_record
AUS__SAMN08443746	AUS__SAMN08443746	AUS	PRJNA432286	SRR8652718	SAMN08443746	RRASM_SRR8652718					local_fasta	unmatched_frozen_record
AUS__SAMN08443767	AUS__SAMN08443767	AUS	PRJNA432286	SRR8652729	SAMN08443767	RRASM_SRR8652729					local_fasta	unmatched_frozen_record
AUS__SAMN08443771	AUS__SAMN08443771	AUS	PRJNA432286	SRR8652780	SAMN08443771	RRASM_SRR8652780					local_fasta	unmatched_frozen_record
AUS__SAMN08443772	AUS__SAMN08443772	AUS	PRJNA432286	SRR8652779	SAMN08443772	RRASM_SRR8652779					local_fasta	unmatched_frozen_record
AUS__SAMN08443778	AUS__SAMN08443778	AUS	PRJNA432286	SRR8652725	SAMN08443778	RRASM_SRR8652725					local_fasta	unmatched_frozen_record
AUS__SAMN08443780	AUS__SAMN08443780	AUS	PRJNA432286	SRR8652770	SAMN08443780	RRASM_SRR8652770					local_fasta	unmatched_frozen_record
AUS__SAMN18200430	AUS__SAMN18200430	AUS	PRJNA695314		SAMN18200430	GCA_017357205	2021-03-16	2011	Australia	Oxford Nanopore; Illumina	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMN18200431	AUS__SAMN18200431	AUS	PRJNA695314		SAMN18200431	GCA_017357125	2021-03-16	2015	Australia	Oxford Nanopore; Illumina	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMN18200432	AUS__SAMN18200432	AUS	PRJNA695314		SAMN18200432	GCA_017357165	2021-03-16	2008	Australia	Oxford Nanopore; Illumina	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMN22857945	AUS__SAMN22857945	AUS	PRJNA562796	SRR16760240	SAMN22857945	RRASM_SRR16760240					local_fasta	unmatched_frozen_record
AUS__SAMN22857989	AUS__SAMN22857989	AUS	PRJNA562796	SRR16760177	SAMN22857989	RRASM_SRR16760177					local_fasta	unmatched_frozen_record
AUS__SAMN22858020	AUS__SAMN22858020	AUS	PRJNA562796	SRR16760425	SAMN22858020	RRASM_SRR16760425					local_fasta	unmatched_frozen_record
AUS__SAMN22858044	AUS__SAMN22858044	AUS	PRJNA562796	SRR16760399	SAMN22858044	RRASM_SRR16760399					local_fasta	unmatched_frozen_record
AUS__SAMN22858066	AUS__SAMN22858066	AUS	PRJNA562796	SRR16760375	SAMN22858066	RRASM_SRR16760375					local_fasta	unmatched_frozen_record
AUS__SAMN22858115	AUS__SAMN22858115	AUS	PRJNA562796	SRR16760321	SAMN22858115	RRASM_SRR16760321					local_fasta	unmatched_frozen_record
AUS__SAMN22858150	AUS__SAMN22858150	AUS	PRJNA562796	SRR16760281	SAMN22858150	RRASM_SRR16760281					local_fasta	unmatched_frozen_record
AUS__SAMN22858161	AUS__SAMN22858161	AUS	PRJNA562796	SRR16760269	SAMN22858161	RRASM_SRR16760269					local_fasta	unmatched_frozen_record
AUS__SAMN22858166	AUS__SAMN22858166	AUS	PRJNA562796	SRR16760264	SAMN22858166	RRASM_SRR16760264					local_fasta	unmatched_frozen_record
AUS__SAMN22858181	AUS__SAMN22858181	AUS	PRJNA562796	SRR16760247	SAMN22858181	RRASM_SRR16760247					local_fasta	unmatched_frozen_record
AUS__SAMN44480251	AUS__SAMN44480251	AUS	PRJNA1178746		SAMN44480251	GCA_046736165	2025-01-16	2024-08	Australia: New South Wales	Oxford Nanopore MinION; Illumina NextSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMN44480252	AUS__SAMN44480252	AUS	PRJNA1178746		SAMN44480252	GCA_046895385	2025-01-22	2024-08	Australia: New South Wales	Oxford Nanopore MinION; Illumina NextSeq	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
AUS__SAMN45810501	AUS__SAMN45810501	AUS	PRJNA1199062	SRR31744007	SAMN45810501			2019-10	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810503	AUS__SAMN45810503	AUS	PRJNA1199062	SRR31743926	SAMN45810503						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810504	AUS__SAMN45810504	AUS	PRJNA1199062	SRR31743850	SAMN45810504						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810505	AUS__SAMN45810505	AUS	PRJNA1199062	SRR31743839	SAMN45810505			2019-08	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810506	AUS__SAMN45810506	AUS	PRJNA1199062	SRR31743828	SAMN45810506			2019-09	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810507	AUS__SAMN45810507	AUS	PRJNA1199062	SRR31743914	SAMN45810507			2019-10	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810511	AUS__SAMN45810511	AUS	PRJNA1199062	SRR31743995	SAMN45810511						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810513	AUS__SAMN45810513	AUS	PRJNA1199062	SRR31743973	SAMN45810513						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810521	AUS__SAMN45810521	AUS	PRJNA1199062	SRR31743935	SAMN45810521			2012-01	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810522	AUS__SAMN45810522	AUS	PRJNA1199062	SRR31743934	SAMN45810522			2016-01	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810523	AUS__SAMN45810523	AUS	PRJNA1199062	SRR31743933	SAMN45810523			2019-12	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810524	AUS__SAMN45810524	AUS	PRJNA1199062	SRR31743932	SAMN45810524			2018-01	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810525	AUS__SAMN45810525	AUS	PRJNA1199062	SRR31743931	SAMN45810525			2018-06	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810526	AUS__SAMN45810526	AUS	PRJNA1199062	SRR31743930	SAMN45810526			2018-12	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810527	AUS__SAMN45810527	AUS	PRJNA1199062	SRR31743929	SAMN45810527						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810528	AUS__SAMN45810528	AUS	PRJNA1199062	SRR31743928	SAMN45810528			2018-08	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810529	AUS__SAMN45810529	AUS	PRJNA1199062	SRR31743927	SAMN45810529			2018-03	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810532	AUS__SAMN45810532	AUS	PRJNA1199062	SRR31743923	SAMN45810532			2019-10	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810536	AUS__SAMN45810536	AUS	PRJNA1199062	SRR31743919	SAMN45810536						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810537	AUS__SAMN45810537	AUS	PRJNA1199062	SRR31743918	SAMN45810537			2016-04	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810538	AUS__SAMN45810538	AUS	PRJNA1199062	SRR31743852	SAMN45810538						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810539	AUS__SAMN45810539	AUS	PRJNA1199062	SRR31743851	SAMN45810539						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810543	AUS__SAMN45810543	AUS	PRJNA1199062	SRR31743846	SAMN45810543			2024-01	Australia: Queensland		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810545	AUS__SAMN45810545	AUS	PRJNA1199062	SRR31743844	SAMN45810545			2019-05	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810546	AUS__SAMN45810546	AUS	PRJNA1199062	SRR31743843	SAMN45810546			2018-11	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810547	AUS__SAMN45810547	AUS	PRJNA1199062	SRR31743842	SAMN45810547						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810549	AUS__SAMN45810549	AUS	PRJNA1199062	SRR31743840	SAMN45810549			2024-05	Australia: Australian Capital Territory		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810550	AUS__SAMN45810550	AUS	PRJNA1199062	SRR31743838	SAMN45810550			2015-12	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810556	AUS__SAMN45810556	AUS	PRJNA1199062	SRR31743832	SAMN45810556			2024-07	Australia: South Australia		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810557	AUS__SAMN45810557	AUS	PRJNA1199062	SRR31743831	SAMN45810557			2024-07	Australia: South Australia		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810558	AUS__SAMN45810558	AUS	PRJNA1199062	SRR31743830	SAMN45810558			2024-01	Australia: Queensland		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810562	AUS__SAMN45810562	AUS	PRJNA1199062	SRR31743825	SAMN45810562			2024-07	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810564	AUS__SAMN45810564	AUS	PRJNA1199062	SRR31743823	SAMN45810564						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810571	AUS__SAMN45810571	AUS	PRJNA1199062	SRR31743912	SAMN45810571						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810572	AUS__SAMN45810572	AUS	PRJNA1199062	SRR31743911	SAMN45810572						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810573	AUS__SAMN45810573	AUS	PRJNA1199062	SRR31743910	SAMN45810573			2016-02	Australia: Western Australia		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810574	AUS__SAMN45810574	AUS	PRJNA1199062	SRR31743909	SAMN45810574			2016-04	Australia: Western Australia		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810575	AUS__SAMN45810575	AUS	PRJNA1199062	SRR31743908	SAMN45810575			2019-03	Australia: Western Australia		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810580	AUS__SAMN45810580	AUS	PRJNA1199062	SRR31743902	SAMN45810580						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810582	AUS__SAMN45810582	AUS	PRJNA1199062	SRR31743900	SAMN45810582			2024-05	Australia: Western Australia		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810584	AUS__SAMN45810584	AUS	PRJNA1199062	SRR31743898	SAMN45810584						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810594	AUS__SAMN45810594	AUS	PRJNA1199062	SRR31743887	SAMN45810594						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810596	AUS__SAMN45810596	AUS	PRJNA1199062	SRR31743820	SAMN45810596						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810598	AUS__SAMN45810598	AUS	PRJNA1199062	SRR31743818	SAMN45810598						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810606	AUS__SAMN45810606	AUS	PRJNA1199062	SRR31743999	SAMN45810606			2024-09	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810610	AUS__SAMN45810610	AUS	PRJNA1199062	SRR31743994	SAMN45810610						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810611	AUS__SAMN45810611	AUS	PRJNA1199062	SRR31743993	SAMN45810611						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810627	AUS__SAMN45810627	AUS	PRJNA1199062	SRR31743976	SAMN45810627			2024-10	Australia: Queensland		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810630	AUS__SAMN45810630	AUS	PRJNA1199062	SRR31743972	SAMN45810630			2024-10	Australia: Queensland		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810633	AUS__SAMN45810633	AUS	PRJNA1199062	SRR31743969	SAMN45810633						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810634	AUS__SAMN45810634	AUS	PRJNA1199062	SRR31743968	SAMN45810634						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810638	AUS__SAMN45810638	AUS	PRJNA1199062	SRR31743964	SAMN45810638						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810640	AUS__SAMN45810640	AUS	PRJNA1199062	SRR31743961	SAMN45810640						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810642	AUS__SAMN45810642	AUS	PRJNA1199062	SRR31743959	SAMN45810642						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45810643	AUS__SAMN45810643	AUS	PRJNA1199062	SRR31743958	SAMN45810643			2024-09	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810645	AUS__SAMN45810645	AUS	PRJNA1199062	SRR31743956	SAMN45810645			2024-10	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45810646	AUS__SAMN45810646	AUS	PRJNA1199062	SRR31743955	SAMN45810646						legacy_read_assembly	unmatched_frozen_record
AUS__SAMN45811366	AUS__SAMN45811366	AUS	PRJNA1199062	SRR31743879	SAMN45811366			2024-07	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45811367	AUS__SAMN45811367	AUS	PRJNA1199062	SRR31743880	SAMN45811367			2024-07	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45811368	AUS__SAMN45811368	AUS	PRJNA1199062	SRR31743881	SAMN45811368			2024-06	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
AUS__SAMN45811371	AUS__SAMN45811371	AUS	PRJNA1199062	SRR31743884	SAMN45811371			2024-06	Australia: New South Wales		ena_fastq_download	unmatched_frozen_record
CHN__SAMN03249373	CHN__SAMN03249373	CHN	PRJNA266616	SRR3205792;SRR3441720;SRR3441721	SAMN03249373	GCA_001605275	2016-03-31	1951	China	Illumina MiSeq; PacBio	SOURCE_DATABASE_GENBANK	extended_metadata;public_manifest
CHN__SAMN07326325	CHN__SAMN07326325	CHN	PRJNA393244	SRR5814339	SAMN07326325	RRASM_SRR5814339					local_fasta	unmatched_frozen_record
CHN__SAMN07329769	CHN__SAMN07329769	CHN	PRJNA393244	SRR5814335	SAMN07329769	RRASM_SRR5814335					local_fasta	unmatched_frozen_record
CHN__SAMN07329777	CHN__SAMN07329777	CHN	PRJNA393244	SRR5814324	SAMN07329777	RRASM_SRR5814324					local_fasta	unmatched_frozen_record
CHN__SAMN07329779	CHN__SAMN07329779	CHN	PRJNA393244	SRR5814322	SAMN07329779	RRASM_SRR5814322					local_fasta	unmatched_frozen_record
CHN__SAMN07329781	CHN__SAMN07329781	CHN	PRJNA393244	SRR5814320	SAMN07329781	RRASM_SRR5814320					local_fasta	unmatched_frozen_record
CHN__SAMN07329782	CHN__SAMN07329782	CHN	PRJNA393244	SRR5814321	SAMN07329782	RRASM_SRR5814321					local_fasta	unmatched_frozen_record
