country_iso3	country_name	time_resolution	date	year	month	week	cases	source_url	source_file	data_freeze_date	notes
AUS	Australia	monthly	2015-01-01	2015	1		1487	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-02-01	2015	2		1240	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-03-01	2015	3		1360	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-04-01	2015	4		1199	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-05-01	2015	5		1399	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-06-01	2015	6		1589	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-07-01	2015	7		1660	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-08-01	2015	8		2054	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-09-01	2015	9		1940	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-10-01	2015	10		2548	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-11-01	2015	11		3259	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2015-12-01	2015	12		2835	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2016-01-01	2016	1		2317	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2016-02-01	2016	2		1940	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2016-03-01	2016	3		1635	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2016-04-01	2016	4		1338	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2016-05-01	2016	5		1325	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
AUS	Australia	monthly	2016-06-01	2016	6		1213	https://nindss.health.gov.au/pbi-dashboard/	Pertussis incidence.xlsx	2026-04-10	high_resolution_national_surveillance_monthly
