country_iso3	country_name	year	current_interpretable	current_total_genomes	success_runs_reconciled	success_runs_missing_manifest	planned_only_remaining	reconciled_total_genomes_est	recovery_status	manifest_backfill_required	notes
CHN	China	2015	8	9	45	44	100	54	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2016	9	10	53	52	71	63	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2017	1	3	59	59	102	62	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2018	7	34	123	121	160	157	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2019	6	93	75	74	101	168	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2020	1	2	1	1	2	3	residual_gap_requires_planned_gapfill	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2021	25	60	6	6	21	66	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2022	36	64	35	33	85	99	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2023	28	59	12	9	34	71	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2024	25	506	36	28	60	542	resolved_by_reconciliation	True	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
CHN	China	2025	0	0	0	0	0	0	residual_gap_requires_planned_gapfill	False	success_runs_backfilled_from_paper_included_comparison; planned_only_remaining_from_paper_public_not_yet_recovered
