source_id	source_name	source_url	source_kind	source_domain	country_iso3	source_release_date	source_access_date	freeze_policy	notes
formulation_aus_consultations_health_gov_au_pertussis_handbook_pdf	Australian Immunisation Handbook pertussis chapter	https://consultations.health.gov.au/ohp-immunisation-branch/the-australian-immunisation-handbook-10th-edition/user_uploads/4-12_pertussis_10th-ed-for-2015-update_post_atagi55_v4_for_public_consultation_final-wm_notedeletion--d14-2961395-.pdf	pdf_report	formulation	AUS	2015-01-01	2026-04-12	release_and_access_date	used_in=formulation:AUS:1945|1996; formulation:AUS:1997|1998; formulation:AUS:1999|2025
maternal_program_aus_immunisationhandbook_health_gov_au_pregnant_women_are_recom	pregnant-women-are-recommended-to-receive-a-single-dose-of-pertussis-containing-vaccine-in-each-pregnancy	https://immunisationhandbook.health.gov.au/recommendations/pregnant-women-are-recommended-to-receive-a-single-dose-of-pertussis-containing-vaccine-in-each-pregnancy	guidance	maternal_program	AUS		2026-04-09	access_date_only_allowed	used_in=maternal_program:AUS:pregnant
reporting_era_aus_www1_health_gov_au_cda_cdi3702o_htm	Revised surveillance case definitions: Chlamydia	https://www1.health.gov.au/internet/main/publishing.nsf/Content/cda-cdi3702o.htm	surveillance_report	reporting_era	AUS		2026-04-09	access_date_only_allowed	used_in=reporting_era:country|AUS:secondary
reporting_era_aus_www1_health_gov_au_cda_pubs_cdi_2004_cdi2801_htm_cdi2801a_htm	Notifiable diseases, Australia, 2004 / revised surveillance case definitions	https://www1.health.gov.au/internet/main/publishing.nsf/Content/cda-pubs-cdi-2004-cdi2801-htm-cdi2801a.htm	surveillance_report	reporting_era	AUS		2026-04-09	access_date_only_allowed	used_in=reporting_era:country|AUS:primary
formulation_chn_en_biokangtai_com_10_html	Shenzhen Kangtai DTaP-Hib-IPV product page	https://en.biokangtai.com/Product_Details/10.html	official_page	formulation	CHN	2024-01-01	2026-04-09	release_and_access_date	used_in=formulation:CHN:2012|2025
formulation_chn_pmc_ncbi_nlm_nih_gov_page	recent China vaccine genomics/review papers	https://pmc.ncbi.nlm.nih.gov/articles/PMC8371876/	literature	formulation	CHN	2021-08-01	2026-04-09	release_and_access_date	used_in=formulation:CHN:2012|2025
formulation_chn_www_chinacdc_cn_jkyj_mygh02_jbzt_xjxcrb_brk_202409_t20240925_300	China CDC pertussis vaccine immunoprophylaxis page	https://www.chinacdc.cn/jkyj/mygh02/jbzt/xjxcrb/brk/202409/t20240925_300993.html	official_page	formulation	CHN	2025-06-08	2026-04-14	release_and_access_date	used_in=formulation:CHN:1978|2004; formulation:CHN:2005|2011; formulation:CHN:2012|2025
formulation_chn_wwwnc_cdc_gov_10_0401_pdf	Emerging Infectious Diseases review of China vaccine transition	https://wwwnc.cdc.gov/eid/article/16/11/pdfs/10-0401.pdf	pdf_report	formulation	CHN	2010-11-01	2026-04-09	release_and_access_date	used_in=formulation:CHN:2005|2011
reporting_era_chn_www_nhc_gov_cn_4d051eb0fa54419ab0551e099820e92a_shtml	China Infectious Disease Prevention and Control Law / Pertussis Prevention and Control Plan (2024 Edition)	https://www.nhc.gov.cn/wjw/flfg/200408/4d051eb0fa54419ab0551e099820e92a.shtml	official_page	reporting_era	CHN		2026-04-09	access_date_only_allowed	used_in=reporting_era:country|CHN:secondary
reporting_era_chn_www_nhc_gov_cn_f732266b89ab427289ab37b886158a1c_pdf	NHC Pertussis Diagnosis and Treatment Plan (2023 Edition)	https://www.nhc.gov.cn/cms-search/downFiles/f732266b89ab427289ab37b886158a1c.pdf	pdf_report	reporting_era	CHN		2026-04-09	access_date_only_allowed	used_in=reporting_era:country|CHN:primary
formulation_jpn_mhlw_grants_niph_go_jp_202418035a_buntan3_pdf	National Institute of Public Health Japan report on pertussis-containing vaccine antigen composition	https://mhlw-grants.niph.go.jp/system/files/report_pdf/202418035A-buntan3.pdf	pdf_report	formulation	JPN	2025-01-01	2026-04-09	release_and_access_date	used_in=formulation:JPN:2012|2025
formulation_jpn_www_pmda_go_jp_636140ba3022_1	PMDA TRIBIK product information	https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/636140BA3022_1?user=1	regulatory_label	formulation	JPN	2026-02-27	2026-04-09	release_and_access_date	used_in=formulation:JPN:2012|2025
formulation_jpn_www_pmda_go_jp_636140fg1020_1	PMDA GOBIK product information	https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/636140FG1020_1?user=1	regulatory_label	formulation	JPN	2025-12-01	2026-04-09	release_and_access_date	used_in=formulation:JPN:2012|2025
formulation_jpn_wwwnc_cdc_gov_16_1575_article	Japanese PRN-deficient surveillance study	https://wwwnc.cdc.gov/eid/article/23/4/16-1575_article	literature	formulation	JPN	2017-04-01	2026-04-12	release_and_access_date	used_in=formulation:JPN:1981|2011; formulation:JPN:2012|2025
formulation_jpn_wwwnc_cdc_gov_20_3850_article	CDC review of pertactin-deficient expansion	https://wwwnc.cdc.gov/eid/article/27/6/20-3850_article	literature	formulation	JPN	2021-06-01	2026-04-12	release_and_access_date	used_in=formulation:JPN:1981|2011; formulation:JPN:2012|2025
reporting_era_jpn_www_mhlw_go_jp_shiryou3_pdf	Revision of notification criteria for pertussis (draft) / IASR special issue on pertussis 2018	https://www.mhlw.go.jp/file/05-Shingikai-10601000-Daijinkanboukouseikagakuka-Kouseikagakuka/shiryou3.pdf	pdf_report	reporting_era	JPN		2026-04-09	access_date_only_allowed	used_in=reporting_era:country|JPN:secondary
